id,intention_prob,cross_frame,wait_time,group_number,perc_road,back,ped_spd,accele,vehicle,real_dist,revise_dist,agg_index,sig_agg_index,normal_agg,normal_sig_agg
1_4_112,0.9,314,2.866666667,1,0,1,2.081157534,1,0,6.09966011,6.09966011,0.364409501,0.214881535,-0.065590499,0.434783166
1_4_106,0.933333333,1525,4.966666667,1,1,0,2.675017244,0,0,0.3514725,0.5,1.319932658,0.98128669,0.889932658,0.972340334
1_4_110,1,7236,3.6,1,1,0,1.224601735,0,0,6.171041509,6.171041509,0.402550867,0.252377869,-0.027449133,0.472578409
2_1_114,0.983333333,3234,1.266666667,1,0,1,2.015008426,0,5.5567072,6.649914079,4.444414443,0.466437529,0.324187506,0.036437529,0.536373162
2_1_118,0.866666667,7257,3.333333333,2,1,1,2.374208975,0,1.1131296,7.507949611,7.419445504,0.318175231,0.175081036,-0.111824769,0.390003127
2_1_117,0.9,7282,5.4,2,0,0,3.930855605,1,0,5.500482432,5.500482432,0.38374446,0.233365284,-0.04625554,0.453875966
2_1_119,1,7354,3.566666667,1,1,0,4.531654877,1,0,7.425617625,7.425617625,0.366972659,0.217269424,-0.063027341,0.437304381
2_1_136,0.8,12230,3.266666667,3,0,1,1.898916543,1,0,9.68492816,9.68492816,0.25706431,0.131684491,-0.17293569,0.3336455
2_1_139,0.916666667,12233,5.433333333,3,0,1,1.565270816,0,0,10.18928899,10.18928899,0.287170285,0.151798604,-0.142829715,0.36093256
2_1_141,0.933333333,12238,3.9,3,0,0,1.841232763,0,0,10.94733526,10.94733526,0.282086672,0.148233549,-0.147913328,0.356255598
2_1_137,0.916666667,12500,3.5,1,1,1,2.195573332,1,1.1131296,7.80209806,7.713593952,0.330052519,0.184716883,-0.099947481,0.401362814
2_1_132,0.933333333,15630,2.466666667,3,0,1,1.217652721,1,0,8.866515145,8.866515145,0.313444242,0.171354679,-0.116555758,0.38551059
2_1_130,0.966666667,15675,3.966666667,3,0,1,0.675439949,0,0.5543296,8.709869167,8.687920502,0.327958449,0.182988699,-0.102041551,0.399351913
2_1_131,0.983333333,15701,4.833333333,3,0,1,1.069436047,1,2.2217888,8.342558519,7.989962413,0.347879144,0.199940751,-0.082120856,0.418609675
2_1_133,0.95,15771,3.833333333,1,0,1,1.902529651,1,2.2217888,7.954379101,7.601782996,0.344560803,0.197037241,-0.085439197,0.415382796
2_2_180,0.983333333,2766,3.2,2,1,1,1.421477915,0,2.2217888,6.058860211,5.706264106,0.411646879,0.261933714,-0.018353121,0.481655117
2_2_181,0.95,2790,3.3,2,0,1,1.290923748,0,1.6674592,5.442705914,5.244104472,0.414846985,0.265350566,-0.015153015,0.484851622
2_2_182,1,2858,3.333333333,2,0,1,1.345666765,0,0,6.758291178,6.758291178,0.384664006,0.234271321,-0.045335994,0.454787841
2_2_183,0.966666667,2867,3.633333333,2,0,1,1.50761846,0,0,6.083349014,6.083349014,0.391927174,0.241513333,-0.038072826,0.462000588
2_2_189,0.916666667,2964,3.8,2,1,1,1.402201105,0,0,5.389323149,5.389323149,0.394861078,0.244481602,-0.035138922,0.464918814
2_2_187,0.866666667,2988,4.466666667,2,0,1,1.522888415,0,0,4.494437826,4.494437826,0.408803311,0.25892147,-0.021196689,0.478816
2_2_188,0.85,3041,2.566666667,1,0,1,1.83063922,1,0,5.06053669,5.06053669,0.377851053,0.227616462,-0.052148947,0.448039327
2_2_184,0.916666667,3627,3.733333333,1,0,1,1.209217451,0,0,5.04600335,5.04600335,0.408072823,0.258151298,-0.021927177,0.478086869
2_2_191,1,3755,4.033333333,1,1,1,0.73602373,0,0,8.295580421,8.295580421,0.347197517,0.199341727,-0.082802483,0.417946258
2_2_190,0.966666667,3895,1.933333333,1,1,0,1.386070555,1,0,3.779715876,3.779715876,0.49721837,0.362322271,0.06721837,0.566816325
2_2_185,0.933333333,4168,0.7,1,1,1,1.602336973,0,0,4.388816262,4.388816262,0.445515765,0.299503495,0.015515765,0.515510787
2_2_193,0.95,4411,2.9,1,1,0,1.613909112,0,0,8.424184136,8.424184136,0.327310306,0.182456352,-0.102689694,0.398730195
2_2_151,0.783333333,5572,11.73333333,1,0,1,0.517595813,0,0,10.29240435,10.29240435,0.244167686,0.123783653,-0.185832314,0.322276557
2_2_152,0.933333333,5756,4.8,5,0,1,0.675108424,0,0,9.53601517,9.53601517,0.302240953,0.162781707,-0.127759047,0.37495065
2_2_150,0.8,5762,18.06666667,5,0,1,0.6580888,0,0,9.526095025,9.526095025,0.259198529,0.133032493,-0.170801471,0.335546158
2_2_155,0.95,5781,4.8,5,0,0,1.41845884,1,0,9.070155565,9.070155565,0.315439617,0.172918607,-0.114560383,0.387403065
2_2_154,0.983333333,5799,7.3,5,0,0,1.879054147,0,0,9.859873396,9.859873396,0.31315914,0.171132141,-0.11684086,0.385240472
2_2_153,1,5831,6.266666667,5,0,0,2.052710987,0,0,9.856673333,9.856673333,0.318518615,0.175353971,-0.111481385,0.390329941
2_2_156,0.983333333,6869,2.066666667,5,0,0,2.807035892,1,6.6698368,8.8091575,5.631534433,0.414369126,0.264838537,-0.015630874,0.484374216
2_2_158,0.983333333,8552,3.933333333,1,0,1,1.819696577,0,0,5.10889197,5.10889197,0.435048225,0.287566024,0.005048225,0.505048054
2_2_157,1,8639,2.366666667,1,0,1,1.886512341,0,0,3.676951304,3.676951304,0.521502099,0.393711281,0.091502099,0.590494115
2_2_159,0.983333333,10596,3.666666667,1,0,0,2.356023078,1,0,3.081355,3.081355,0.560182959,0.445469328,0.130182959,0.627318878
2_2_161,0.65,10771,3.566666667,1,1,1,1.231210377,0,2.2217888,7.499507985,7.14691188,0.243138729,0.123171148,-0.186861271,0.321378259
2_2_160,1,10868,5.6,1,1,0,2.438376791,1,1.1131296,2.019198067,1.930693959,0.719686376,0.6588728,0.289686376,0.761104691
2_2_174,0.983333333,16517,2.5,1,1,1,1.168646083,0,3.3349184,4.068622941,3.274217174,0.543434267,0.42284345,0.113434267,0.611527387
2_2_177,0.816666667,16640,3.4,2,0,1,2.19573495,1,0,7.288373593,7.288373593,0.302502882,0.162978134,-0.127497118,0.375196228
2_2_178,0.95,16647,4.9,2,0,0,2.231413498,1,0,6.918115901,6.918115901,0.361184986,0.211904666,-0.068815014,0.431616217
2_3_194,0.95,965,3.566666667,1,0,1,2.11999848,0,1.1131296,3.036956788,2.948452681,0.553256499,0.436079368,0.123256499,0.62081902
2_3_195,1,1137,1.7,2,1,0,2.324680046,0,0,1.674795333,1.674795333,0.772714619,0.721101182,0.342714619,0.797518818
2_3_197,1,1178,3.466666667,2,0,1,1.608225624,0,0,3.320426859,3.320426859,0.548786022,0.430042715,0.118786022,0.616600568
2_3_198,0.983333333,1305,3.533333333,1,1,0,1.506808909,0,0,2.855800402,2.855800402,0.581884563,0.47511186,0.151884563,0.64737904
2_3_196,0.9,1365,1.833333333,1,1,1,1.930027391,1,0,4.315820542,4.315820542,0.433222317,0.285512996,0.003222317,0.503222272
2_3_200,1,1434,3.6,2,0,1,1.663346156,0,0,3.609476796,3.609476796,0.526353934,0.400098822,0.096353934,0.595178645
2_3_201,0.933333333,1436,3.666666667,2,0,0,1.606840274,0,0,2.481307449,2.481307449,0.592511095,0.489704211,0.162511095,0.657020463
2_3_202,1,1633,3.566666667,1,0,0,3.486341915,0,0,0.238045,0.5,1.414213562,0.988773349,0.984213562,0.980863846
3_1_267,0.833333333,17029,3.2,3,1,0,2.061006557,0,0,6.196858531,6.196858531,0.334759541,0.188647483,-0.095240459,0.405894934
3_1_268,0.9,17041,1.1,3,1,0,1.565848286,0,0,6.538506442,6.538506442,0.351968041,0.203562468,-0.078031959,0.422595444
3_2_289,0.983333333,5921,10.5,1,1,0,2.548295065,1,0,2.862023022,2.862023022,0.581251651,0.474243839,0.151251651,0.646800902
3_2_290,0.85,6090,20.63333333,1,0,1,2.128221916,0,0,3.633258657,3.633258657,0.445934186,0.299986536,0.015934186,0.515928794
3_2_303,0.85,11943,4,2,0,1,2.229774131,0,0,4.717004444,4.717004444,0.391368424,0.24095083,-0.038631576,0.461445112
3_2_302,0.95,11971,6.333333333,2,0,1,2.356244294,0,0,2.910580734,2.910580734,0.556844302,0.440937942,0.126844302,0.62419143
3_2_304,1,12618,2.2,2,0,0,2.045965677,0,0,3.8264685,3.8264685,0.511211869,0.380285944,0.081211869,0.580505163
3_2_305,1,12711,2,2,0,0,2.237595379,0,0,3.44784898,3.44784898,0.538549817,0.416301213,0.108549817,0.606875968
3_3_308,0.983333333,1641,7.566666667,2,0,0,2.621238917,0,0,2.343242394,2.343242394,0.64238021,0.558010377,0.21238021,0.700466618
3_3_309,0.916666667,1708,10.26666667,2,1,0,2.453814239,0,0,2.651644183,2.651644183,0.56292925,0.449203568,0.13292925,0.629883486
3_3_307,1,2379,1.833333333,1,0,0,2.614882451,1,0,3.327121127,3.327121127,0.548233657,0.42929824,0.118233657,0.616078108
3_3_326,0.95,17636,5.633333333,5,0,1,1.742595287,0,0,1.530979146,1.530979146,0.767783841,0.715614546,0.337783841,0.794315185
3_3_327,0.95,17646,5.166666667,5,0,0,2.027682056,0,0,4.383885577,4.383885577,0.453726349,0.309062664,0.023726349,0.523708556
3_3_329,0.566666667,17699,5.333333333,5,0,1,1.840834915,0,0,5.344639289,5.344639289,0.245114197,0.124349388,-0.184885803,0.323104039
3_3_328,0.783333333,17710,5.7,5,0,0,1.801153849,0,0,4.332865792,4.332865792,0.376321463,0.226140831,-0.053678537,0.446526742
3_3_330,0.95,17723,3.733333333,5,1,0,1.76837825,0,0,3.194004778,3.194004778,0.531564323,0.406996377,0.101564323,0.600190109
3_3_332,0.966666667,18030,2.433333333,2,0,0,2.027544876,0,0,2.2916625,2.2916625,0.638559564,0.55282157,0.208559564,0.697250341
3_3_331,1,18037,3.133333333,2,0,0,1.990403022,0,0,3.574678642,3.574678642,0.528909658,0.403477345,0.098909658,0.597639345
3_3_334,1,18985,2.133333333,1,0,1,1.912588923,1,0,7.427877067,7.427877067,0.366916841,0.21721722,-0.063083159,0.437249442
3_3_335,0.983333333,19609,2.8,1,0,1,2.234878338,0,0,2.963137434,2.963137434,0.571248225,0.460548488,0.141248225,0.637607012
3_3_342,0.716666667,20115,3.3,6,0,0,2.044752338,1,0,9.578874727,9.578874727,0.23155809,0.116455698,-0.19844191,0.311360257
3_3_337,0.933333333,20115,4.033333333,6,0,1,0.687517993,0,0,8.608447234,8.608447234,0.318107835,0.175027506,-0.111892165,0.389938994
3_3_336,0.933333333,20115,3.733333333,6,0,1,0.663779905,0,0,9.064441477,9.064441477,0.310003254,0.168684104,-0.119996746,0.382255198
3_3_339,0.983333333,20134,4.3,6,1,1,1.780320698,1,0,10.10064721,10.10064721,0.309404168,0.168222555,-0.120595832,0.381689495
3_3_338,0.766666667,20164,6.266666667,6,0,1,1.234632712,0,0.5543296,7.160934608,7.138985943,0.286938166,0.151634301,-0.143061834,0.360718426
3_3_340,0.633333333,20206,5.3,6,0,1,1.518141577,1,1.1131296,9.525906455,9.437402347,0.206160809,0.10283486,-0.223839191,0.290005618
3_3_341,0.833333333,20314,3.233333333,2,1,0,1.179499267,0,1.6674592,7.993985789,7.795384348,0.29846952,0.159974525,-0.13153048,0.371421842
3_3_343,0.616666667,20330,10.2,2,1,0,1.227422543,1,1.6674592,7.300097308,7.101495866,0.2314065,0.116369939,-0.1985935,0.31123026
3_4_349,0.883333333,8302,0.366666667,2,1,1,2.569795219,1,2.2217888,5.098561879,4.745965774,0.405473353,0.255422756,-0.024526647,0.475493006
3_4_356,1,8381,3.3,1,0,1,3.43420785,1,1.6674592,2.0280486,1.829447158,0.739332955,0.682726737,0.309332955,0.775099238
3_4_350,1,9439,1.4,1,0,0,2.259100347,0,6.1110368,10.76183046,8.094346832,0.351486861,0.203133743,-0.078513139,0.422125865
3_4_351,0.966666667,9794,11.5,5,0,1,1.82026765,0,0,2.232751534,2.232751534,0.646928889,0.564171358,0.216928889,0.70427013
3_4_353,0.983333333,9808,11.46666667,5,0,1,2.003275979,0,0,4.282702798,4.282702798,0.4751621,0.334787964,0.0451621,0.545039681
3_4_355,0.916666667,9812,1.3,5,1,0,2.562687724,0,0,4.901105352,4.901105352,0.414061089,0.264508809,-0.015938911,0.484066486
3_4_352,0.95,9832,11.96666667,5,0,1,2.063884155,0,0,5.516117957,5.516117957,0.404489109,0.2543946,-0.025510891,0.474511223
3_4_354,0.95,9882,14.73333333,5,0,1,1.792886066,1,0,1.667031947,1.667031947,0.73578621,0.678486305,0.30578621,0.772616509
3_4_357,0.966666667,10210,1.633333333,1,1,0,2.383504427,0,0,3.469561192,3.469561192,0.518966671,0.390387587,0.088966671,0.588039508
3_4_361,0.9,12032,1.7,1,1,1,1.721515124,0,2.7805888,10.29112007,9.738857638,0.288395514,0.152668296,-0.141604486,0.362063776
3_4_374,0.983333333,15506,8.533333333,1,0,0,1.429924542,0,0,9.462211308,9.462211308,0.319671884,0.176273086,-0.110328116,0.391428279
3_4_378,0.95,15607,7.333333333,6,0,1,0.652571876,0,0,8.442813127,8.442813127,0.326949003,0.182160121,-0.103050997,0.398383764
3_4_376,0.983333333,15619,3.5,6,0,1,0.52593685,0,0,8.168922818,8.168922818,0.344047467,0.196590931,-0.085952533,0.414884248
3_4_379,0.833333333,15623,3.866666667,6,0,1,0.955339037,0,0,9.140798403,9.140798403,0.275630129,0.143805696,-0.154369871,0.35035492
3_4_380,0.983333333,15643,4.633333333,6,0,1,1.285583652,1,0,6.956871717,6.956871717,0.372815331,0.222783989,-0.057184669,0.443063365
3_4_377,0.833333333,15659,5.4,6,0,1,1.109582008,0,1.1131296,8.629163746,8.540659639,0.285149784,0.150373302,-0.144850216,0.359070466
3_4_383,0.95,15664,4.833333333,6,0,0,1.324991,1,1.1131296,7.2119164,7.123412292,0.355942269,0.207129202,-0.074057731,0.426479123
3_4_382,0.866666667,15675,5.4,6,0,1,1.100001405,0,1.1131296,8.997120365,8.908616258,0.290366806,0.154076126,-0.139633194,0.363887015
3_4_375,0.916666667,15747,7.6,2,0,1,1.441700208,1,1.1131296,6.157152118,6.068648011,0.372104965,0.222108217,-0.057895035,0.442362324
3_4_381,1,15785,4.933333333,2,0,1,1.016258692,0,0.5543296,6.41776312,6.395814455,0.395414027,0.245043784,-0.034585973,0.465469084
3_5_398,0.833333333,3030,2.466666667,1,1,1,2.178637002,1,6.1110368,2.108885699,0.5,1.178511302,0.960144071,0.748511302,0.952304383
3_5_396,0.966666667,3160,4.9,2,0,0,2.370716908,0,0,2.559797836,2.559797836,0.604190524,0.505761715,0.174190524,0.667469496
3_5_397,1,3162,4.833333333,2,0,0,2.393488832,0,0,3.832040678,3.832040678,0.510840057,0.379804127,0.080840057,0.580142947
3_5_407,0.9,9946,1.566666667,2,0,0,2.39077951,1,5.5567072,9.635797636,7.430298,0.330171356,0.184815334,-0.099828644,0.401477032
3_5_409,0.983333333,9964,1.7,2,0,0,2.8906682,1,5.0023776,8.813477685,7.02606471,0.370975039,0.221036337,-0.059024961,0.441247705
3_5_412,0.933333333,10352,0.766666667,1,1,0,2.781907879,1,5.0023776,9.334868767,7.547455792,0.339732025,0.192869143,-0.090267975,0.410700114
3_5_413,0.733333333,10887,2.266666667,1,0,1,0.849588957,0,1.6674592,6.991753099,6.793151657,0.281362213,0.147731167,-0.148637787,0.355591292
3_5_417,0.8,11606,0.9,3,1,1,2.087038655,1,3.3349184,10.66369516,9.86928939,0.254651973,0.130174795,-0.175348027,0.331503652
3_5_420,0.916666667,13251,4.866666667,1,0,1,1.987226154,0,2.2217888,4.225478484,3.872882378,0.465794424,0.323413051,0.035794424,0.535733401
3_5_419,0.583333333,13327,7.333333333,1,0,0,2.676296878,0,0,2.361769822,2.361769822,0.379575357,0.229288066,-0.050424643,0.449745614
3_6_437,1,6834,2.966666667,5,0,1,1.309136363,1,3.3349184,6.775696958,5.981291191,0.408886269,0.259009029,-0.021113731,0.47889881
3_6_433,0.916666667,6867,4.666666667,5,0,1,1.78707713,1,2.7805888,6.911057048,6.358794614,0.363516426,0.214054019,-0.066483574,0.433905491
3_6_434,0.916666667,6877,4.3,5,0,1,1.970889848,1,2.2217888,7.701697081,7.349100976,0.338138274,0.191508265,-0.091861726,0.409158084
3_6_443,0.933333333,6882,4.633333333,5,0,1,1.944776539,1,2.2217888,7.333880632,6.981284527,0.353239375,0.204698449,-0.076760625,0.423836795
3_6_435,0.8,6900,5.633333333,5,0,0,2.135572486,1,1.6674592,7.903521834,7.704920392,0.288207919,0.152534873,-0.141792081,0.361890475
3_6_438,0.95,7102,3.3,3,1,1,2.085954387,1,0,8.86928518,8.86928518,0.318991636,0.175730495,-0.111008364,0.390780298
3_6_439,0.966666667,7114,1.633333333,3,1,1,2.462085109,1,0,7.885819603,7.885819603,0.344233652,0.196752718,-0.085766348,0.415065049
3_6_440,0.95,7156,1.433333333,3,1,1,3.446495695,1,0,8.581347674,8.581347674,0.324299184,0.179998967,-0.105700816,0.395846149
3_6_441,0.816666667,7590,2.7,1,1,1,1.746329979,0,11.1134144,7.562370399,0.5,1.154941076,0.954876374,0.724941076,0.947834784
3_6_460,0.666666667,12389,11.33333333,1,0,1,1.53023906,0,0,7.233041148,7.233041148,0.247883873,0.126017596,-0.182116127,0.325531771
3_7_507,0.916666667,11817,0,1,1,1,1.707098615,1,5.5567072,9.97366,7.768160364,0.328891272,0.18375698,-0.101108728,0.400247272
3_7_509,0.916666667,12472,3.6,1,1,1,1.302032292,0,0,6.774825206,6.774825206,0.352178137,0.203749872,-0.077821863,0.422800518
3_7_513,0.85,13812,2.6,1,1,1,2.641491604,1,0,3.990727518,3.990727518,0.425493459,0.276921048,-0.004506541,0.495493581
3_7_518,0.933333333,15179,1.133333333,1,0,1,1.209456758,0,5.5567072,11.42201145,9.216511815,0.307435125,0.166712658,-0.122564875,0.379832438
3_7_519,0.7,15612,1.633333333,1,0,1,2.643608709,0,3.889248,10.91759149,9.837145062,0.223184229,0.111799865,-0.206815771,0.304224087
3_8_527,0.966666667,2183,4.033333333,1,0,1,2.077271623,1,2.7805888,5.771871471,5.219609037,0.423114351,0.274308607,-0.006885649,0.493114786
3_8_532,0.616666667,5866,4.2,4,1,1,1.422601539,1,1.1131296,7.215288132,7.126784024,0.230995583,0.116137744,-0.199004417,0.310878022
3_8_530,0.966666667,5923,6.666666667,4,0,1,1.73539669,0,0,3.884021419,3.884021419,0.490496525,0.353824729,0.060496525,0.560203034
3_8_529,0.916666667,5964,8.366666667,4,0,1,2.874311168,0,0,1.115706138,1.115706138,0.867833734,0.81352592,0.437833734,0.852121097
3_8_528,0.933333333,6002,9.466666667,4,0,0,1.966917371,1,0,1.776410493,1.776410493,0.700269339,0.634479211,0.270269339,0.746697809
3_8_533,0.883333333,6727,3.7,1,0,0,2.27911655,1,0.5543296,11.27311307,11.2511644,0.263345489,0.13568517,-0.166654511,0.339254531
3_8_534,1,6992,3.7,1,1,0,1.336400126,0,0,10.08611226,10.08611226,0.314874942,0.172474886,-0.115125058,0.386867162
3_8_535,0.983333333,7583,3.833333333,1,1,0,1.126045877,0,0,9.744489839,9.744489839,0.315007728,0.172579148,-0.114992272,0.386993157
3_8_550,0.966666667,13044,3.133333333,1,1,1,1.426744682,0,2.2217888,6.24241712,5.889821014,0.398314113,0.248006565,-0.031685887,0.468356462
3_8_552,0.583333333,13743,3.466666667,1,0,1,2.884521742,1,7.778496,8.717110408,4.395324692,0.27824112,0.145582895,-0.15175888,0.352735732
3_8_554,0.916666667,15165,3.733333333,2,1,1,1.348408376,0,1.6674592,5.568298702,5.36969726,0.395582015,0.24521475,-0.034417985,0.465636274
3_8_555,0.916666667,15168,3.633333333,2,0,1,1.277781423,0,1.6674592,4.483334652,4.284733211,0.442842757,0.296428214,0.012842757,0.512839934
3_9_587,0.933333333,2568,3.833333333,1,1,0,2.993626407,0,0,3.234352124,3.234352124,0.518971044,0.39039331,0.088971044,0.588043745
3_9_616,0.933333333,11161,4.066666667,2,1,1,2.001272644,1,5.2795424,6.903387189,4.91241805,0.421103758,0.272112815,-0.008896242,0.491104697
3_9_617,0.866666667,11174,3.1,2,1,1,2.031163093,1,5.0023776,5.508026316,3.720613341,0.449308696,0.303898404,0.019308696,0.519299103
3_9_618,0.933333333,12700,3.4,1,1,1,1.584481158,0,1.1131296,8.085284911,7.996780804,0.330049577,0.184714446,-0.099950423,0.401359987
3_9_620,0.983333333,14012,4.2,3,0,1,1.566276735,0,0,3.605288505,3.605288505,0.51788192,0.388968668,0.08788192,0.586987988
3_9_621,0.933333333,14018,3.5,3,0,1,1.788045862,0,0,2.647456686,2.647456686,0.573617437,0.463787492,0.143617437,0.639793905
3_9_622,1,14037,3.466666667,3,0,1,1.780049912,0,0,2.785778971,2.785778971,0.599137733,0.498814386,0.169137733,0.662968467
3_9_623,0.833333333,14259,5.133333333,1,0,0,2.197131892,1,0.5543296,5.930824968,5.908876303,0.342820122,0.195526936,-0.087179878,0.41369297
3_10_632,0.983333333,842,0.933333333,1,0,1,2.19572603,0,2.2217888,4.422585251,4.069989146,0.487420887,0.349966806,0.057420887,0.557169777
3_10_631,0.95,883,4.166666667,2,0,0,2.072439029,0,0,2.465063357,2.465063357,0.605075492,0.506978348,0.175075492,0.668254719
3_10_630,1,884,4.466666667,2,0,0,2.02937804,1,0,3.151483882,3.151483882,0.563303507,0.449712912,0.133303507,0.63023242
3_10_636,0.95,1591,1.6,2,1,1,1.722404479,0,8.337296,4.735886322,0.5,1.343502884,0.983524463,0.913502884,0.974766157
3_10_633,1,1632,1.5,2,0,0,1.741734318,0,6.1110368,3.962368213,1.294884587,0.878788711,0.822494166,0.448788711,0.857558113
3_10_635,0.966666667,2157,5.2,2,1,0,1.709678132,0,0,11.27373935,11.27373935,0.287900718,0.152316589,-0.142099282,0.361606762
3_10_634,0.866666667,2176,3.5,2,0,0,2.002841297,1,0,10.73266111,10.73266111,0.264544286,0.136460266,-0.165455714,0.340330251
3_10_673,0.833333333,12440,12.83333333,10,1,0,1.643697586,0,0,4.716356344,4.716356344,0.383720895,0.233342097,-0.046279105,0.453852602
